regcode,sepa,name,name_before_quotes,name_in_quotes,name_after_quotes,without_quotes,regtype,regtype_text,type,type_text,registered,terminated,closed,address,index,addressid,region,city,atvk,reregistration_term,,,,,,,,,,,,,,,,,,,,,,,,,
41502039796,LV08ZZZ41502039796,"IK ""POWER TEST""",IK,POWER TEST,,0,K,Komercreģistrs,IK,Individuālais komersants,30/06/2020,, ,Augšdaugavas nov.,,,,,,,,,,,,, Višķu pag., Višķu tehnikums, 5 - 20,5481,116960711,100016462,0,440298,,,,,,,,,,,
40103215608,,"SIA ""Baltima""",SIA,Baltima,,0,K,Komercreģistrs,SIA,Sabiedrība ar ierobežotu atbildību,17/02/2009,11/12/2013,L,Rīga,,,,,,,,,,,,, Trijādības iela 4,1048,102009175,0,100003003,10000,,,,,,,,,,,,,
40203246549,LV84ZZZ40203246549,"SIA ""ES Trade""",SIA,ES Trade,,0,K,Komercreģistrs,SIA,Sabiedrība ar ierobežotu atbildību,11/05/2020,15/08/2023,L,Ropažu nov.,,,,,,,,,,,,, Stopiņu pag., Dreiliņi, Noliktavu iela 7,2130,105671714,100016784,0,809600,,,,,,,,,,,
41502039809,LV45ZZZ41502039809,MedveDJ IK,,MedveDJ,IK,1,K,Komercreģistrs,IK,Individuālais komersants,03/07/2020,, ,Daugavpils,,,,,,,,,,,,, Saules iela 4 - 8,5401,116123047,0,100003011,50000,,,,,,,,,,,,,
44101017469,LV12ZZZ44101017469,"Cēsu rajona Drabešu pagasta zemnieku saimniecība ""VECLAUČI""",Cēsu rajona Drabešu pagasta zemnieku saimniecība,VECLAUČI,,0,U,Uzņēmumu reģistra žurnāls,ZEM,Zemnieku saimniecība,25/11/1994,12/04/2017,L,Amatas nov.,,,,,,,,,,,,, Drabešu pag.," """"Veclauči"""""";4139;104236640;100015276;0;0424746;",,,,,,,,,,,,,,,,,
40002161528,,"IK ""SAULES ROTAS""",IK,SAULES ROTAS,,0,K,Komercreģistrs,IK,Individuālais komersants,07/07/2011,11/12/2013,L,Ķekavas nov.,,,,,,,,,,,,, Ķekavas pag., Katlakalns, Krizantēmu iela 16,2111,104895553,100015950,0,800870,,,,,,,,,,,
40003470770,,"SIA ""KRIPTO K""",SIA,KRIPTO K,,0,U,Uzņēmumu reģistra žurnāls,SIA,Sabiedrība ar ierobežotu atbildību,01/12/1999,17/12/2003,L,Rīga,,,,,,,,,,,,, Rododendru iela 5-7,1083,113974575,0,100003003,10000,,,,,,,,,,,,,
40203499459,LV23ZZZ40203499459,"Sabiedrība ar ierobežotu atbildību ""Go4you""",Sabiedrība ar ierobežotu atbildību,Go4you,,0,K,Komercreģistrs,SIA,Sabiedrība ar ierobežotu atbildību,03/08/2023,, ,Ogres nov.,,,,,,,,,,,,, Ikšķile," Lupīnu iela 2;5052;102159348;100016688;100003487;"""";",,,,,,,,,,,,,,,,,
40003766227,,"SIA ""KATTEKS""",SIA,KATTEKS,,0,K,Komercreģistrs,SIA,Sabiedrība ar ierobežotu atbildību,06/09/2005,12/12/2013,L,Rīga,,,,,,,,,,,,, Putnu iela 30-9,1058,114006186,0,100003003,10000,,,,,,,,,,,,,
40003704886,LV60ZZZ40003704886,"SIA ""KNOW HOUSE""",SIA,KNOW HOUSE,,0,K,Komercreģistrs,SIA,Sabiedrība ar ierobežotu atbildību,13/10/2004,, ,Rīga,,,,,,,,,,,,, Elizabetes iela 91/93 - 14,1050,111633976,0,100003003,10000,,,,,,,,,,,,,
50003799751,LV25ZZZ50003799751,"SIA ""MobillyTX""",SIA,MobillyTX,,0,K,Komercreģistrs,SIA,Sabiedrība ar ierobežotu atbildību,01/02/2006,, ,Rīga,,,,,,,,,,,,, Dzirnavu iela 91 k-3 - 20,1011,118084940,0,100003003,10000,,,,,,,,,,,,,
44103146181,LV04ZZZ44103146181,"Sabiedrība ar ierobežotu atbildību ""VALTEX""",Sabiedrība ar ierobežotu atbildību,VALTEX,,0,K,Komercreģistrs,SIA,Sabiedrība ar ierobežotu atbildību,03/06/2020,, ,Cēsu nov.,,,,,,,,,,,,, Cēsis, Ķiršu iela 34B,4101,101582264,100015774,100003157,420201,,,,,,,,,,,,
40203101571,LV55ZZZ40203101571,"SIA ""Development Service Group""",SIA,Development Service Group,,0,K,Komercreģistrs,SIA,Sabiedrība ar ierobežotu atbildību,26/10/2017,, ,Liepāja,,,,,,,,,,,,, Mežu iela 41 - 49,3405,115989096,0,100003044,170000,,,,,,,,,,,,,
50103629181,LV93ZZZ50103629181,"Sabiedrība ar ierobežotu atbildību ""MAXIMUS SOLUTIONS""",Sabiedrība ar ierobežotu atbildību,MAXIMUS SOLUTIONS,,0,K,Komercreģistrs,SIA,Sabiedrība ar ierobežotu atbildību,24/01/2013,11/02/2015,L,Rīga,,,,,,,,,,,,, Kalnciema iela 97-5,1046,113087036,0,100003003,10000,,,,,,,,,,,,,
40103312231,LV77ZZZ40103312231,"Sabiedrība ar ierobežotu atbildību ""Free Trans""",Sabiedrība ar ierobežotu atbildību,Free Trans,,0,K,Komercreģistrs,SIA,Sabiedrība ar ierobežotu atbildību,06/08/2010,11/02/2015,L,Rīga,,,,,,,,,,,,, Kalnciema iela 97-5,1046,113087036,0,100003003,10000,,,,,,,,,,,,,
50203425131,LV81ZZZ50203425131,"SIA ""JERMO""",SIA,JERMO,,0,K,Komercreģistrs,SIA,Sabiedrība ar ierobežotu atbildību,08/09/2022,, ,Jēkabpils nov.,,,,,,,,,,,,, Jēkabpils," Krasta iela 61 - 54;5202;115367445;100016421;100003776;"""";",,,,,,,,,,,,,,,,,
40008219402,LV74ZZZ40008219402,"""NĀCIJAS IZLĪGUMS""",,NĀCIJAS IZLĪGUMS,,0,B,Biedrību un nodibinājumu reģistrs,BDR,Biedrība,15/01/2014,30/11/2015,L,Rīga,,,,,,,,,,,,, Krišjāņa Valdemāra iela 33-5,1010,118370165,0,100003003,10000,,,,,,,,,,,,,
40008155385,LV90ZZZ40008155385,"Ģimenes un bērnu atbalsta centrs ""Drošā pietura""",Ģimenes un bērnu atbalsta centrs,Drošā pietura,,0,B,Biedrību un nodibinājumu reģistrs,BDR,Biedrība,12/03/2010,, ,Balvu nov.,,,,,,,,,,,,, Balvi, Ezera iela 16 - 51,4501,115291958,100015741,100003124,380201,,,,,,,,,,,,
42103079003,LV97ZZZ42103079003,"SIA ""4A TEAM""",SIA,4A TEAM,,0,K,Komercreģistrs,SIA,Sabiedrība ar ierobežotu atbildību,02/02/2017,, ,Liepāja,,,,,,,,,,,,, Ezermalas iela 3A,3401,101692803,0,100003044,170000,,,,,,,,,,,,,
45403057873,LV50ZZZ45403057873,"SIA ""Ceturtā jūdze""",SIA,Ceturtā jūdze,,0,K,Komercreģistrs,SIA,Sabiedrība ar ierobežotu atbildību,25/06/2020,, ,Liepāja,,,,,,,,,,,,, Mirdzas Ķempes iela 7 - 38,3407,115263262,0,100003044,170000,,,,,,,,,,,,,
52103062691,LV79ZZZ52103062691,"SIA ""Romance L""",SIA,Romance L,,0,K,Komercreģistrs,SIA,Sabiedrība ar ierobežotu atbildību,23/10/2012,, ,Liepāja,,,,,,,,,,,,, Vecā ostmala 29,3401,105256633,0,100003044,170000,,,,,,,,,,,,,
40003791050,,"Sabiedrība ar ierobežotu atbildību ""Arctic Capital""",Sabiedrība ar ierobežotu atbildību,Arctic Capital,,0,K,Komercreģistrs,SIA,Sabiedrība ar ierobežotu atbildību,20/12/2005,12/12/2013,L,Olaines nov.,,,,,,,,,,,,, Olaine, Rūpnīcu iela 4,2114,102679373,100016077,100003567,800900,,,,,,,,,,,,
40103297661,LV35ZZZ40103297661,"Sabiedrība ar ierobežotu atbildību ""BLIKO""",Sabiedrība ar ierobežotu atbildību,BLIKO,,0,K,Komercreģistrs,SIA,Sabiedrība ar ierobežotu atbildību,04/06/2010,, ,Mārupes nov.,,,,,,,,,,,,, Babītes pag., Piņķi," Rūpnieku iela 8;2107;104647457;100016583;0;"""";",,,,,,,,,,,,,,,,
40103701621,LV86ZZZ40103701621,SIA EAM - Trade,SIA,EAM - Trade,,1,K,Komercreģistrs,SIA,Sabiedrība ar ierobežotu atbildību,19/08/2013,, ,Ogres nov.,,,,,,,,,,,,, Ogre, Druvas iela 10,5001,101107817,100015356,100003470,740201,,,,,,,,,,,,
40203357149,LV29ZZZ40203357149,"SIA ""DILS""",SIA,DILS,,0,K,Komercreģistrs,SIA,Sabiedrība ar ierobežotu atbildību,01/11/2021,, ,Rīga,,,,,,,,,,,,," Brīvības iela 136 - 30;1012;111853553;0;100003003;"""";",,,,,,,,,,,,,,,,,,
43403001091,LV72ZZZ43403001091,"SIA ""AGROSERVISS B""",SIA,AGROSERVISS B,,0,K,Komercreģistrs,SIA,Sabiedrība ar ierobežotu atbildību,22/03/1993,, ,Balvu nov.,,,,,,,,,,,,, Kubulu pag., Tropiņi," """"Zači"""""";4566;104665715;100015741;0;0380258;",,,,,,,,,,,,,,,,
40103251651,LV26ZZZ40103251651,"SIA ""LIA Auto""",SIA,LIA Auto,,0,K,Komercreģistrs,SIA,Sabiedrība ar ierobežotu atbildību,05/10/2009,, ,Ķekavas nov.,,,,,,,,,,,,, Baldone, Skautu iela 8,2125,105255832,100016470,100003542,800605,,,,,,,,,,,,
44102037848,LV10ZZZ44102037848,IK JĀNIS OZOLIŅŠ,IK,JĀNIS OZOLIŅŠ,,1,K,Komercreģistrs,IK,Individuālais komersants,23/10/2017,23/09/2019,L,Siguldas nov.,,,,,,,,,,,,, Sigulda, Lapu iela 9,2150,101288583,100015380,100003591,801615,,,,,,,,,,,,
40103840121,LV33ZZZ40103840121,"Sabiedrība ar ierobežotu atbildību ""KSoneja""",Sabiedrība ar ierobežotu atbildību,KSoneja,,0,K,Komercreģistrs,SIA,Sabiedrība ar ierobežotu atbildību,28/10/2014,, ,Rīga,,,,,,,,,,,,, Krišjāņa Barona iela 20 - 6,1011,118197378,0,100003003,10000,,,,,,,,,,,,,
40002113621,LV05ZZZ40002113621,"IK ""Realty MD""",IK,Realty MD,,0,K,Komercreģistrs,IK,Individuālais komersants,17/08/2005,, ,Rīga,,,,,,,,,,,,, Lielvārdes iela 109 - 65,1084,112630765,0,100003003,10000,,,,,,,,,,,,,
44103090422,LV57ZZZ44103090422,"Sabiedrība ar ierobežotu atbildību ""ATU Trucking Line""",Sabiedrība ar ierobežotu atbildību,ATU Trucking Line,,0,K,Komercreģistrs,SIA,Sabiedrība ar ierobežotu atbildību,21/01/2014,, ,Cēsu nov.,,,,,,,,,,,,, Cēsis, Birzes iela 3 - 28,4101,115619385,100015774,100003157,420201,,,,,,,,,,,,
40008035180,,"""Balvu Informācijas Tehnoloģiju Aģentūra""",,Balvu Informācijas Tehnoloģiju Aģentūra,,0,B,Biedrību un nodibinājumu reģistrs,BDR,Biedrība,27/05/1998,10/12/2013,L,Balvu nov.,,,,,,,,,,,,, Balvi, Tautas iela 14,4501,101610706,100015741,100003124,380100,,,,,,,,,,,,
40002103784,LV18ZZZ40002103784,"IK ""B.O.V.""",IK,B.O.V.,,0,K,Komercreģistrs,IK,Individuālais komersants,18/05/2004,, ,Rīga,,,,,,,,,,,,, Dzeņu iela 1 - 106,1021,111215793,0,100003003,10000,,,,,,,,,,,,,
40103223770,,"Sabiedrība ar ierobežotu atbildību ""DVLG""",Sabiedrība ar ierobežotu atbildību,DVLG,,0,K,Komercreģistrs,SIA,Sabiedrība ar ierobežotu atbildību,06/04/2009,12/12/2013,L,Tukuma nov.,,,,,,,,,,,,, Tukums, Eksporta iela 8,3101,105416854,100016261,100003671,900100,,,,,,,,,,,,
44102037852,LV96ZZZ44102037852,IK radošā studija KuMode,IK,radošā studija KuMode,,1,K,Komercreģistrs,IK,Individuālais komersants,24/10/2017,04/02/2022,L,Gulbenes nov.,,,,,,,,,,,,, Beļavas pag.," """"Jaunaudzes"""""";4410;104519621;100015854;0;0500244;",,,,,,,,,,,,,,,,,
41203032635,LV46ZZZ41203032635,"Akciju sabiedrība ""Mechport""",Akciju sabiedrība,Mechport,,0,K,Komercreģistrs,AS,Akciju sabiedrība,28/04/2008,, ,Rīga,,,,,,,,,,,,, Ogļu iela 1A - 2,1048,111430152,0,100003003,10000,,,,,,,,,,,,,
44101023183,LV61ZZZ44101023183,"Cēsu rajona Drabešu pagasta zemnieku saimniecība ""ŪBELES""",Cēsu rajona Drabešu pagasta zemnieku saimniecība,ŪBELES,,0,U,Uzņēmumu reģistra žurnāls,ZEM,Zemnieku saimniecība,17/04/1996,12/04/2017,L,Amatas nov.,,,,,,,,,,,,, Drabešu pag.," """"Ūbeles"""""";4140;100010716;100015276;0;0424746;",,,,,,,,,,,,,,,,,
40002017425,LV25ZZZ40002017425,"Tukuma rajona V.Kupcovas individuālais tirdzniecības uzņēmums ""MAKSIMILIANS""",Tukuma rajona V.Kupcovas individuālais tirdzniecības uzņēmums,MAKSIMILIANS,,0,U,Uzņēmumu reģistra žurnāls,IND,Individuālais uzņēmums,04/04/1994,11/02/2015,L,Tukuma nov.,,,,,,,,,,,,, Tukums," Aviācijas iela 10-35;"""";114559184;100016261;100003671;0900100;",,,,,,,,,,,,,,,,,
40002170249,LV60ZZZ40002170249,"IK ""EB MOTORS""",IK,EB MOTORS,,0,K,Komercreģistrs,IK,Individuālais komersants,03/12/2013,11/02/2015,L,Rīga,,,,,,,,,,,,, Graudu iela 68,1058,101832850,0,100003003,10000,,,,,,,,,,,,,
40203186837,LV71ZZZ40203186837,"SIA ""HOD""",SIA,HOD,,0,K,Komercreģistrs,SIA,Sabiedrība ar ierobežotu atbildību,20/12/2018,, ,Tukuma nov.,,,,,,,,,,,,, Kandava, Pakalnu iela 19,3120,104399813,100016710,100003688,901211,,,,,,,,,,,,
40203032547,LV42ZZZ40203032547,"SIA ""JV Forwarding""",SIA,JV Forwarding,,0,K,Komercreģistrs,SIA,Sabiedrība ar ierobežotu atbildību,15/11/2016,, ,Rīga,,,,,,,,,,,,, Slokas iela 201 - 103,1067,113840046,0,100003003,10000,,,,,,,,,,,,,
40203194177,LV62ZZZ40203194177,"SIA ""CCL""",SIA,CCL,,0,K,Komercreģistrs,SIA,Sabiedrība ar ierobežotu atbildību,08/02/2019,, ,Saldus nov.,,,,,,,,,,,,, Saldus, Ganību iela 13,3801,102098735,100016204,100003614,840201,,,,,,,,,,,,
50008174301,LV98ZZZ50008174301,"""Rigensis""",,Rigensis,,0,B,Biedrību un nodibinājumu reģistrs,BDR,Biedrība,11/03/2011,03/10/2014,L,Rīga,,,,,,,,,,,,, Robežu iela 3 k-7 -5,1004,113482386,0,100003003,10000,,,,,,,,,,,,,
40002103820,LV16ZZZ40002103820,"Individuālais komersants ""Modāls""",Individuālais komersants,Modāls,,0,K,Komercreģistrs,IK,Individuālais komersants,20/05/2004,, ,Saulkrastu nov.,,,,,,,,,,,,, Saulkrastu pag., Zvejniekciems, Bērzu aleja 3 - 32,2161,114430838,100015620,0,801433,,,,,,,,,,,
40203199259,LV06ZZZ40203199259,"SIA ""ANADOLU""",SIA,ANADOLU,,0,K,Komercreģistrs,SIA,Sabiedrība ar ierobežotu atbildību,06/03/2019,, ,Rīga,,,,,,,,,,,,, Dzirnavu iela 43 - 3,1010,111569746,0,100003003,10000,,,,,,,,,,,,,
40002177444,LV86ZZZ40002177444,"IK ""JUNA""",IK,JUNA,,0,K,Komercreģistrs,IK,Individuālais komersants,31/05/2016,, ,Jelgavas nov.,,,,,,,,,,,,, Kalnciema pag.," """"Baltiņi 2"""""";3016;104814224;100015895;0;0540258;",,,,,,,,,,,,,,,,,
40008153702,LV38ZZZ40008153702,"""Brīvstils""",,Brīvstils,,0,B,Biedrību un nodibinājumu reģistrs,BDR,Biedrība,10/02/2010,, ,Rīga,,,,,,,,,,,,, Dzelzavas iela 76 k-4 - 42,1082,111547214,0,100003003,10000,,,,,,,,,,,,,
40203301785,LV87ZZZ40203301785,"SIA ""IFM GROUP""",SIA,IFM GROUP,,0,K,Komercreģistrs,SIA,Sabiedrība ar ierobežotu atbildību,18/03/2021,, ,Rīga,,,,,,,,,,,,," Krāsotāju iela 11 k-1 - 1;1009;119265922;0;100003003;"""";",,,,,,,,,,,,,,,,,,
40203222038,LV50ZZZ40203222038,"""CONSTRUCTIFY"" SIA",,CONSTRUCTIFY,SIA,0,K,Komercreģistrs,SIA,Sabiedrība ar ierobežotu atbildību,25/07/2019,, ,Rīga,,,,,,,,,,,,, Maskavas iela 55 - 9,1003,112388304,0,100003003,10000,,,,,,,,,,,,,
40103594032,LV33ZZZ40103594032,"Sabiedrība ar ierobežotu atbildību ""F.G. Moduls""",Sabiedrība ar ierobežotu atbildību,F.G. Moduls,,0,K,Komercreģistrs,SIA,Sabiedrība ar ierobežotu atbildību,08/10/2012,17/05/2017,L,Rīga,,,,,,,,,,,,, Lāčplēša iela 41A,1011,104982890,0,100003003,10000,,,,,,,,,,,,,
40103843058,LV80ZZZ40103843058,SIA 2K,SIA,2K,,1,K,Komercreģistrs,SIA,Sabiedrība ar ierobežotu atbildību,06/11/2014,23/03/2020,L,Rīga,,,,,,,,,,,,, Rumbulas iela 7 - 29,1035,113287018,0,100003003,10000,,,,,,,,,,,,,
40103271658,LV30ZZZ40103271658,"SIA ""EPOWER""",SIA,EPOWER,,0,K,Komercreģistrs,SIA,Sabiedrība ar ierobežotu atbildību,02/02/2010,20/09/2019,L,Rīga,,,,,,,,,,,,, Piedrujas iela 11,1073,101964724,0,100003003,10000,,,,,,,,,,,,,
40008186633,LV03ZZZ40008186633,"""Z Fonds""",,Z Fonds,,0,B,Biedrību un nodibinājumu reģistrs,NOD,Nodibinājums,29/11/2011,, ,Rīga,,,,,,,,,,,,, Dzirnavu iela 100 - 32,1050,118256573,0,100003003,10000,,,,,,,,,,,,,
40008108573,LV07ZZZ40008108573,"Dzīvokļu īpašnieku biedrība ""DIMANTS""",Dzīvokļu īpašnieku biedrība,DIMANTS,,0,B,Biedrību un nodibinājumu reģistrs,BDR,Biedrība,22/11/2006,, ,Rīga,,,,,,,,,,,,, Kurzemes prospekts 26,1067,101846877,0,100003003,10000,,,,,,,,,,,,,
40008253510,LV76ZZZ40008253510,"Dzīvokļu īpašnieku biedrība ""Jūras nami""",Dzīvokļu īpašnieku biedrība,Jūras nami,,0,B,Biedrību un nodibinājumu reģistrs,BDR,Biedrība,05/07/2016,17/09/2018,L,Liepāja,,,,,,,,,,,,, Atmodas bulvāris 6 - 2,3414,115126274,0,100003044,170000,,,,,,,,,,,,,
41502026359,,"IK ""REGĪNAS ZIEDI""",IK,REGĪNAS ZIEDI,,0,K,Komercreģistrs,IK,Individuālais komersants,22/02/2007,12/04/2012,L,Daugavpils,,,,,,,,,,,,, Brīvības iela 11,5415,101795744,0,100003011,50000,,,,,,,,,,,,,
44102016174,LV07ZZZ44102016174,"""SATVL"" IK",,SATVL,IK,0,K,Komercreģistrs,IK,Individuālais komersants,12/11/1996,11/09/2015,L,Valkas nov.,,,,,,,,,,,,, Valka, Rīgas iela 17,4701,101186306,100016286,100003696,940201,,,,,,,,,,,,
40203069643,LV72ZZZ40203069643,"SIA ""Izo Art Pro""",SIA,Izo Art Pro,,0,K,Komercreģistrs,SIA,Sabiedrība ar ierobežotu atbildību,16/05/2017,, ,Rīga,,,,,,,,,,,,, Stirnu iela 1 - 28,1035,117749920,0,100003003,10000,,,,,,,,,,,,,
40001008853,LV77ZZZ40001008853,"Tukuma rajona Kandavas pagasta zemnieku saimniecība ""REMESI-2""",Tukuma rajona Kandavas pagasta zemnieku saimniecība,REMESI-2,,0,U,Uzņēmumu reģistra žurnāls,ZEM,Zemnieku saimniecība,02/04/1997,, ,Tukuma nov.,,,,,,,,,,,,, Kandavas pag.," """"Remesi-2"""""";3120;100014161;100016710;0;0901262;",,,,,,,,,,,,,,,,,
40002072643,LV29ZZZ40002072643,"O.Ivanova individuālais uzņēmums Rīgas pilsētas ražošanas komercfirma ""VEDO I""",O.Ivanova individuālais uzņēmums Rīgas pilsētas ražošanas komercfirma,VEDO I,,0,U,Uzņēmumu reģistra žurnāls,IND,Individuālais uzņēmums,16/04/1998,, ,Rīga,,,,,,,,,,,,, Vizmas Belševicas iela 2 - 50,1082,111715450,0,100003003,10000,,,,,,,,,,,,,
40002151568,LV47ZZZ40002151568,"IK ""Lilijas nams""",IK,Lilijas nams,,0,K,Komercreģistrs,IK,Individuālais komersants,01/12/2009,, ,Olaines nov.,,,,,,,,,,,,, Olaine, Zeiferta iela 19,2114,101272867,100016077,100003567,801009,,,,,,,,,,,,
40103614038,LV64ZZZ40103614038,"Sabiedrība ar ierobežotu atbildību ""Fantes""",Sabiedrība ar ierobežotu atbildību,Fantes,,0,K,Komercreģistrs,SIA,Sabiedrība ar ierobežotu atbildību,06/12/2012,20/09/2019,L,Rīga,,,,,,,,,,,,, Gaujas iela 29A - 2,1026,118694038,0,100003003,10000,,,,,,,,,,,,,
44103059217,LV50ZZZ44103059217,"SIA ""AgriPro""",SIA,AgriPro,,0,K,Komercreģistrs,SIA,Sabiedrība ar ierobežotu atbildību,13/05/2010,, ,Siguldas nov.,,,,,,,,,,,,, Sigulda," Doņu iela 15;2150;105042633;100016768;100003591;"""";",,,,,,,,,,,,,,,,,
44103124095,LV67ZZZ44103124095,SIA BSO GROUP,SIA,BSO GROUP,,1,K,Komercreģistrs,SIA,Sabiedrība ar ierobežotu atbildību,26/07/2019,, ,Jūrmala,,,,,,,,,,,,, Engures iela 1 - 2,2016,110620080,0,100003036,130000,,,,,,,,,,,,,
42103055062,LV96ZZZ42103055062,"SIA ""Menceli""",SIA,Menceli,,0,K,Komercreģistrs,SIA,Sabiedrība ar ierobežotu atbildību,29/04/2011,, ,Dienvidkurzemes nov.,,,,,,,,,,,,, Rucavas pag., Pape," """"Menceļi"""""";3477;104213791;100016495;0;"""";",,,,,,,,,,,,,,,,
40002153126,LV79ZZZ40002153126,"Rīgas A.Staņuka daudznozaru individuālais uzņēmums ""ALOVI""",Rīgas A.Staņuka daudznozaru individuālais uzņēmums,ALOVI,,0,U,Uzņēmumu reģistra žurnāls,IND,Individuālais uzņēmums,17/02/2010,, ,Rīga,,,,,,,,,,,,, Anniņmuižas iela 5 - 84,1029,113956846,0,100003003,10000,,,,,,,,,,,,,
42102026846,LV43ZZZ42102026846,"Liepājas pilsētas Auces daudznozaru individuālais uzņēmums ""AUCE & C0""",Liepājas pilsētas Auces daudznozaru individuālais uzņēmums,AUCE & C0,,0,U,Uzņēmumu reģistra žurnāls,IND,Individuālais uzņēmums,11/06/1999,17/05/2017,L,Liepāja,,,,,,,,,,,,, Vērgales iela 2 - 74,3414,116520536,0,100003044,170000,,,,,,,,,,,,,
40002091061,LV62ZZZ40002091061,"Individuālais komersants ""BALKANIS""",Individuālais komersants,BALKANIS,,0,K,Komercreģistrs,IK,Individuālais komersants,02/07/2002,, ,Rīga,,,,,,,,,,,,, Puķu iela 4 - 3,1048,114015933,0,100003003,10000,,,,,,,,,,,,,
50003580131,,"SIA ""VL CENTER"" Latvijas filiāle ""VL BALTIC""","SIA ""VL CENTER"" Latvijas filiāle",VL BALTIC,,0,K,Komercreģistrs,AKF,Ārvalsts komersanta filiāle,29/01/2002,12/12/2013,L,Lielvārdes nov.,,,,,,,,,,,,, Lielvārde, Edgara Kauliņa aleja 19-24,5070,117220872,100015436,100003501,741413,,,,,,,,,,,,
40203234732,LV13ZZZ40203234732,Kilde Trading SIA,,Kilde Trading,SIA,1,K,Komercreģistrs,SIA,Sabiedrība ar ierobežotu atbildību,13/12/2019,, ,Rīga,,,,,,,,,,,,, Brīvības iela 133 - 25,1012,111854098,0,100003003,10000,,,,,,,,,,,,,
40002002078,LV10ZZZ40002002078,"F.Zubkova individuālais uzņēmums ražošanas-komerciālā firma ""T.F.""",F.Zubkova individuālais uzņēmums ražošanas-komerciālā firma,T.F.,,0,U,Uzņēmumu reģistra žurnāls,IND,Individuālais uzņēmums,14/08/1991,17/05/2017,L,Rīga,,,,,,,,,,,,, Salnas iela 12 - 66,1021,113262438,0,100003003,10000,,,,,,,,,,,,,
90000519196,LV85ZZZ90000519196,ROMAS KATOĻU BAZNĪCAS RĒZEKNES-AGLONAS DIECĒZE,,ROMAS KATOĻU BAZNĪCAS RĒZEKNES-AGLONAS DIECĒZE,,1,R,Reliģisko organizāciju un to iestāžu reģistrs,KAT,Katoļu baznīcas publisko tiesību juridiskā persona,29/06/1998,, ,Rēzekne,,,,,,,,,,,,, Latgales iela 88,4601,101677294,0,100003052,210000,,,,,,,,,,,,,
